,season,team,player
1796,2011,Deccan Chargers,S Sohal
1797,2013,Mumbai Indians,AN Ahmed
1798,2011,Royal Challengers Bangalore,M Kaif
1799,2012,Deccan Chargers,DJ Harris
1800,2012,Rajasthan Royals,GB Hogg
1801,2016,Royal Challengers Bangalore,CJ Jordan
1802,2014,Sunrisers Hyderabad,AJ Finch
1803,2014,Delhi Daredevils,WD Parnell
1804,2017,Royal Challengers Bangalore,Mandeep Singh
1805,2017,Royal Challengers Bangalore,A Choudhary
1806,2018,Chennai Super Kings,KV Sharma
1807,2010,Delhi Daredevils,KD Karthik
1808,2009,Delhi Daredevils,G Gambhir
1809,2010,Kings XI Punjab,S Sreesanth
1810,2008,Kolkata Knight Riders,A Chopra
1811,2009,Kings XI Punjab,WA Mota
1812,2009,Royal Challengers Bangalore,MV Boucher
1813,2017,Mumbai Indians,KV Sharma
1814,2008,Kolkata Knight Riders,RT Ponting
1815,2012,Kings XI Punjab,PC Valthaty
1816,2009,Delhi Daredevils,A Nehra
1817,2015,Royal Challengers Bangalore,Mandeep Singh
1818,2008,Rajasthan Royals,M Kaif
1819,2013,Rajasthan Royals,KK Cooper
1820,2011,Royal Challengers Bangalore,AB de Villiers
1821,2011,Pune Warriors,NL McCullum
1822,2019,Delhi Capitals,H Vihari
1823,2016,Delhi Daredevils,SS Iyer
1824,2012,Deccan Chargers,DT Christian
1825,2017,Royal Challengers Bangalore,AB de Villiers
1826,2014,Chennai Super Kings,DJ Bravo
1827,2011,Kochi Tuskers Kerala,Y Gnaneswara Rao
1828,2013,Rajasthan Royals,AM Rahane
1829,2013,Rajasthan Royals,SW Tait
1830,2017,Mumbai Indians,AT Rayudu
1831,2012,Mumbai Indians,AC Blizzard
1832,2012,Kings XI Punjab,P Dogra
1833,2011,Rajasthan Royals,Pankaj Singh
1834,2019,Kolkata Knight Riders,N Naik
1835,2010,Rajasthan Royals,S Narwal
1836,2010,Chennai Super Kings,MS Dhoni
1837,2011,Chennai Super Kings,S Randiv
1838,2016,Gujarat Lions,AD Nath
1839,2015,Kings XI Punjab,WP Saha
1840,2009,Royal Challengers Bangalore,W Jaffer
1841,2011,Delhi Daredevils,AB Dinda
1842,2012,Chennai Super Kings,M Vijay
1843,2009,Deccan Chargers,WPUJC Vaas
1844,2016,Gujarat Lions,DW Steyn
1845,2017,Kolkata Knight Riders,MK Pandey
1846,2016,Kolkata Knight Riders,RV Uthappa
1847,2019,Mumbai Indians,R Salam
1848,2009,Kolkata Knight Riders,I Sharma
1849,2009,Rajasthan Royals,NV Ojha
1850,2017,Royal Challengers Bangalore,SR Watson
1851,2011,Royal Challengers Bangalore,A Mithun
1852,2019,Rajasthan Royals,DS Kulkarni
1853,2011,Kings XI Punjab,L Ablish
1854,2010,Mumbai Indians,Z Khan
1855,2010,Kolkata Knight Riders,OA Shah
1856,2015,Chennai Super Kings,DR Smith
1857,2009,Kings XI Punjab,B Lee
1858,2011,Mumbai Indians,Harbhajan Singh
1859,2011,Deccan Chargers,PP Ojha
1860,2018,Mumbai Indians,BCJ Cutting
1861,2016,Royal Challengers Bangalore,Parvez Rasool
1862,2017,Royal Challengers Bangalore,V Kohli
1863,2012,Mumbai Indians,RP Singh
1864,2018,Delhi Daredevils,TA Boult
1865,2017,Kings XI Punjab,SE Marsh
1866,2010,Kings XI Punjab,SE Marsh
1867,2019,Royal Challengers Bangalore,K Khejroliya
1868,2018,Chennai Super Kings,DL Chahar
1869,2018,Chennai Super Kings,M Wood
1870,2017,Kings XI Punjab,MJ Henry
1871,2011,Mumbai Indians,DJ Jacobs
1872,2014,Kings XI Punjab,V Sehwag
1873,2009,Rajasthan Royals,PC Valthaty
1874,2019,Mumbai Indians,Q de Kock
1875,2012,Delhi Daredevils,Sunny Gupta
1876,2017,Delhi Daredevils,SW Billings
1877,2013,Mumbai Indians,JDP Oram
1878,2018,Rajasthan Royals,RA Tripathi
1879,2017,Gujarat Lions,KD Karthik
1880,2011,Kings XI Punjab,Bipul Sharma
1881,2013,Sunrisers Hyderabad,KC Sangakkara
1882,2013,Pune Warriors,K Upadhyay
1883,2009,Rajasthan Royals,SA Asnodkar
1884,2008,Deccan Chargers,SB Styris
1885,2014,Kings XI Punjab,P Awana
1886,2012,Rajasthan Royals,SK Trivedi
1887,2014,Delhi Daredevils,KD Karthik
1888,2013,Kings XI Punjab,MS Gony
1889,2015,Mumbai Indians,HH Pandya
1890,2009,Delhi Daredevils,AB de Villiers
1891,2008,Rajasthan Royals,SR Watson
1892,2013,Delhi Daredevils,M Morkel
1893,2013,Chennai Super Kings,B Laughlin
1894,2013,Chennai Super Kings,DJ Bravo
1895,2009,Deccan Chargers,Y Venugopal Rao
1896,2010,Kings XI Punjab,L Ablish
1897,2009,Delhi Daredevils,KD Karthik
1898,2015,Mumbai Indians,Harbhajan Singh
1899,2013,Rajasthan Royals,VS Malik
1900,2014,Kolkata Knight Riders,UT Yadav
1901,2018,Kings XI Punjab,Yuvraj Singh
1902,2014,Rajasthan Royals,JP Faulkner
1903,2012,Delhi Daredevils,DPMD Jayawardene
1904,2013,Pune Warriors,AJ Finch
1905,2010,Kolkata Knight Riders,SE Bond
1906,2013,Kings XI Punjab,Bipul Sharma
1907,2011,Mumbai Indians,AN Ahmed
1908,2016,Sunrisers Hyderabad,DA Warner
1909,2016,Kings XI Punjab,MP Stoinis
1910,2016,Delhi Daredevils,MA Agarwal
1911,2013,Sunrisers Hyderabad,DW Steyn
1912,2015,Delhi Daredevils,JP Duminy
1913,2011,Kolkata Knight Riders,B Lee
1914,2017,Gujarat Lions,SB Jakati
1915,2017,Gujarat Lions,AJ Finch
1916,2010,Mumbai Indians,AP Tare
1917,2018,Chennai Super Kings,L Ngidi
1918,2019,Kolkata Knight Riders,CA Lynn
1919,2014,Sunrisers Hyderabad,KL Rahul
1920,2017,Sunrisers Hyderabad,S Kaul
1921,2012,Kings XI Punjab,RJ Harris
1922,2009,Chennai Super Kings,Joginder Sharma
1923,2011,Kolkata Knight Riders,Shakib Al Hasan
1924,2015,Kolkata Knight Riders,SA Yadav
1925,2019,Chennai Super Kings,SW Billings
1926,2009,Kings XI Punjab,S Sreesanth
1927,2015,Delhi Daredevils,KM Jadhav
1928,2015,Mumbai Indians,R Vinay Kumar
1929,2011,Rajasthan Royals,PR Shah
1930,2013,Royal Challengers Bangalore,KK Nair
1931,2010,Kings XI Punjab,K Goel
1932,2010,Delhi Daredevils,DL Vettori
1933,2011,Kings XI Punjab,R McLaren
1934,2011,Deccan Chargers,KC Sangakkara
1935,2018,Mumbai Indians,JJ Bumrah
1936,2016,Rising Pune Supergiants,NLTC Perera
1937,2010,Delhi Daredevils,DP Nannes
1938,2019,Chennai Super Kings,M Santner
1939,2019,Kings XI Punjab,MA Agarwal
1940,2013,Delhi Daredevils,CM Gautam
1941,2009,Deccan Chargers,RJ Harris
1942,2009,Kolkata Knight Riders,AN Ghosh
1943,2010,Royal Challengers Bangalore,EJG Morgan
1944,2010,Kolkata Knight Riders,Iqbal Abdulla
1945,2010,Deccan Chargers,RP Singh
1946,2014,Delhi Daredevils,S Nadeem
1947,2008,Deccan Chargers,LPC Silva
1948,2018,Sunrisers Hyderabad,Rashid Khan
1949,2015,Kolkata Knight Riders,AD Russell
1950,2012,Chennai Super Kings,JA Morkel
1951,2013,Royal Challengers Bangalore,R Vinay Kumar
1952,2016,Royal Challengers Bangalore,Iqbal Abdulla
1953,2018,Chennai Super Kings,D Willey
1954,2011,Kochi Tuskers Kerala,KM Jadhav
1955,2018,Rajasthan Royals,SV Samson
1956,2015,Royal Challengers Bangalore,MA Starc
1957,2011,Kings XI Punjab,PC Valthaty
1958,2016,Kolkata Knight Riders,UT Yadav
1959,2012,Chennai Super Kings,VY Mahesh
1960,2015,Mumbai Indians,RG Sharma
1961,2010,Royal Challengers Bangalore,RE van der Merwe
1962,2017,Kolkata Knight Riders,Kuldeep Yadav
1963,2016,Rising Pune Supergiants,KP Pietersen
1964,2012,Pune Warriors,SC Ganguly
1965,2009,Deccan Chargers,A Symonds
1966,2013,Mumbai Indians,DS Kulkarni
1967,2008,Rajasthan Royals,AD Mascarenhas
1968,2018,Sunrisers Hyderabad,Sandeep Sharma
1969,2018,Mumbai Indians,KH Pandya
1970,2010,Mumbai Indians,Harbhajan Singh
1971,2013,Rajasthan Royals,STR Binny
1972,2012,Delhi Daredevils,GJ Maxwell
1973,2009,Royal Challengers Bangalore,P Kumar
1974,2019,Sunrisers Hyderabad,KS Williamson
1975,2019,Delhi Capitals,I Sharma
1976,2017,Kings XI Punjab,M Vohra
1977,2011,Chennai Super Kings,Joginder Sharma
1978,2009,Kolkata Knight Riders,BB McCullum
1979,2011,Chennai Super Kings,SB Jakati
1980,2012,Mumbai Indians,SA Yadav
1981,2015,Chennai Super Kings,MEK Hussey
1982,2019,Mumbai Indians,BCJ Cutting
1983,2014,Royal Challengers Bangalore,AN Ahmed
1984,2012,Kings XI Punjab,AM Nayar
1985,2008,Royal Challengers Bangalore,V Kohli
1986,2010,Mumbai Indians,AM Nayar
1987,2012,Chennai Super Kings,KMDN Kulasekara
1988,2010,Kolkata Knight Riders,WP Saha
1989,2013,Chennai Super Kings,MM Sharma
1990,2009,Rajasthan Royals,AS Raut
1991,2019,Royal Challengers Bangalore,S Hetmyer
1992,2009,Mumbai Indians,Harbhajan Singh
1993,2010,Deccan Chargers,RJ Harris
1994,2011,Kings XI Punjab,DJ Hussey
1995,2010,Royal Challengers Bangalore,R Dravid
1996,2018,Kings XI Punjab,AJ Tye
1997,2009,Chennai Super Kings,PA Patel
1998,2010,Mumbai Indians,SL Malinga
1999,2018,Mumbai Indians,Ishan Kishan
2000,2013,Sunrisers Hyderabad,X Thalaivan Sargunam
2001,2017,Mumbai Indians,KH Pandya
2002,2017,Rising Pune Supergiant,AB Dinda
2003,2010,Royal Challengers Bangalore,Pankaj Singh
2004,2014,Royal Challengers Bangalore,RR Rossouw
2005,2009,Kings XI Punjab,TM Srivastava
2006,2009,Mumbai Indians,AM Nayar
2007,2012,Kolkata Knight Riders,MS Bisla
2008,2013,Kolkata Knight Riders,SP Narine
2009,2012,Rajasthan Royals,A Singh
2010,2018,Royal Challengers Bangalore,CJ Anderson
2011,2008,Rajasthan Royals,T Kohli
