,season,team,player
531,2019,Chennai Super Kings,SK Raina
532,2012,Deccan Chargers,S Dhawan
533,2014,Kings XI Punjab,GJ Bailey
534,2016,Royal Challengers Bangalore,STR Binny
535,2012,Royal Challengers Bangalore,AUK Pathan
536,2017,Rising Pune Supergiant,Ankit Sharma
537,2009,Mumbai Indians,SR Tendulkar
538,2008,Royal Challengers Bangalore,Misbah-ul-Haq
539,2008,Kings XI Punjab,SM Katich
540,2019,Kings XI Punjab,R Ashwin
541,2016,Kolkata Knight Riders,JO Holder
542,2019,Kings XI Punjab,KK Nair
543,2011,Rajasthan Royals,AG Paunikar
544,2010,Deccan Chargers,HH Gibbs
545,2010,Deccan Chargers,MD Mishra
546,2017,Rising Pune Supergiant,BA Stokes
547,2008,Mumbai Indians,DS Kulkarni
548,2012,Deccan Chargers,Anand Rajan
549,2010,Rajasthan Royals,SK Trivedi
550,2011,Rajasthan Royals,FY Fazal
551,2019,Royal Challengers Bangalore,PA Patel
552,2008,Kolkata Knight Riders,DB Das
553,2016,Kings XI Punjab,HM Amla
554,2017,Delhi Daredevils,K Rabada
555,2011,Pune Warriors,SC Ganguly
556,2014,Rajasthan Royals,KK Nair
557,2010,Rajasthan Royals,AP Dole
558,2012,Deccan Chargers,B Chipli
559,2010,Kolkata Knight Riders,RS Gavaskar
560,2019,Sunrisers Hyderabad,Rashid Khan
561,2017,Rising Pune Supergiant,A Zampa
562,2009,Deccan Chargers,RP Singh
563,2016,Mumbai Indians,J Suchith
564,2016,Sunrisers Hyderabad,Mustafizur Rahman
565,2010,Kings XI Punjab,J Theron
566,2013,Kings XI Punjab,AD Mascarenhas
567,2014,Kolkata Knight Riders,RN ten Doeschate
568,2018,Delhi Daredevils,A Mishra
569,2019,Delhi Capitals,C Munro
570,2015,Royal Challengers Bangalore,VR Aaron
571,2019,Chennai Super Kings,DJ Bravo
572,2008,Delhi Daredevils,A Mishra
573,2019,Sunrisers Hyderabad,YK Pathan
574,2013,Sunrisers Hyderabad,I Sharma
575,2010,Kings XI Punjab,VRV Singh
576,2012,Delhi Daredevils,AD Russell
577,2017,Kolkata Knight Riders,Shakib Al Hasan
578,2010,Chennai Super Kings,S Anirudha
579,2015,Rajasthan Royals,STR Binny
580,2014,Rajasthan Royals,R Bhatia
581,2016,Delhi Daredevils,Z Khan
582,2019,Rajasthan Royals,AM Rahane
583,2009,Kolkata Knight Riders,SS Shaikh
584,2019,Kings XI Punjab,H Viljoen
585,2012,Mumbai Indians,KA Pollard
586,2018,Delhi Daredevils,DT Christian
587,2013,Mumbai Indians,RG Sharma
588,2018,Delhi Daredevils,S Lamichhane
589,2011,Chennai Super Kings,S Badrinath
590,2016,Royal Challengers Bangalore,VR Aaron
591,2016,Gujarat Lions,RA Jadeja
592,2019,Royal Challengers Bangalore,MP Stoinis
593,2012,Delhi Daredevils,AJ Finch
594,2013,Pune Warriors,RV Uthappa
595,2010,Delhi Daredevils,R Bhatia
596,2009,Royal Challengers Bangalore,JH Kallis
597,2015,Rajasthan Royals,KK Nair
598,2009,Kings XI Punjab,K Goel
599,2010,Delhi Daredevils,TM Dilshan
600,2012,Royal Challengers Bangalore,J Syed Mohammad
601,2009,Kolkata Knight Riders,CH Gayle
602,2014,Royal Challengers Bangalore,YS Chahal
603,2014,Rajasthan Royals,TG Southee
604,2019,Rajasthan Royals,BA Stokes
605,2017,Sunrisers Hyderabad,KS Williamson
606,2013,Royal Challengers Bangalore,M Muralitharan
607,2009,Mumbai Indians,RA Shaikh
608,2019,Delhi Capitals,C Ingram
609,2017,Mumbai Indians,SS Tiwary
610,2013,Kolkata Knight Riders,EJG Morgan
